time	V(vgnd)	V(vraw)
8.899668571427863e-02	1.178333e+01	2.361917e+01
8.956382857142127e-02	1.178363e+01	2.361921e+01
9.013097142856391e-02	1.178392e+01	2.361926e+01
9.069811428570655e-02	1.178421e+01	2.361930e+01
9.126525714284918e-02	1.178450e+01	2.361935e+01
9.183239999999182e-02	1.178478e+01	2.361938e+01
9.184239999999182e-02	1.178479e+01	2.361938e+01
9.280668571427715e-02	1.178526e+01	2.361945e+01
9.377097142856250e-02	1.178573e+01	2.361950e+01
9.473525714284783e-02	1.178619e+01	2.361955e+01
9.569954285713318e-02	1.178664e+01	2.361960e+01
9.666382857141852e-02	1.178708e+01	2.361965e+01
9.762811428570387e-02	1.178751e+01	2.361969e+01
9.859239999998920e-02	1.178794e+01	2.361972e+01
9.907919999999075e-02	1.178815e+01	2.361974e+01
9.956599999999229e-02	1.178836e+01	2.361975e+01
1.000527999999938e-01	1.178857e+01	2.361977e+01
1.005395999999954e-01	1.178878e+01	2.361979e+01
1.010263999999969e-01	1.178898e+01	2.361980e+01
1.015131999999985e-01	1.178919e+01	2.361981e+01
1.020000000000000e-01	1.178939e+01	2.361983e+01
1.020030000000000e-01	1.178939e+01	2.361955e+01
1.020060000000000e-01	1.178939e+01	2.361891e+01
1.020100000000000e-01	1.178939e+01	2.361768e+01
1.020160000000000e-01	1.178939e+01	2.361513e+01
1.020224000000000e-01	1.178939e+01	2.361241e+01
1.020324000000000e-01	1.178940e+01	2.360817e+01
1.020424000000000e-01	1.178940e+01	2.360393e+01
1.020524000000000e-01	1.178940e+01	2.359970e+01
1.020624000000000e-01	1.178940e+01	2.359547e+01
1.020724000000000e-01	1.178941e+01	2.359126e+01
1.020824000000000e-01	1.178941e+01	2.358706e+01
1.020924000000000e-01	1.178941e+01	2.358287e+01
1.021024000000000e-01	1.178941e+01	2.357870e+01
1.021124000000000e-01	1.178941e+01	2.357454e+01
1.021224000000000e-01	1.178941e+01	2.357040e+01
1.021324000000000e-01	1.178941e+01	2.356629e+01
1.021424000000000e-01	1.178940e+01	2.356220e+01
1.021524000000000e-01	1.178940e+01	2.355814e+01
1.021624000000000e-01	1.178940e+01	2.355412e+01
1.021724000000000e-01	1.178940e+01	2.355014e+01
1.021824000000000e-01	1.178940e+01	2.354620e+01
1.021923999999999e-01	1.178939e+01	2.354230e+01
1.022023999999999e-01	1.178939e+01	2.353847e+01
1.022123999999999e-01	1.178938e+01	2.353469e+01
1.022223999999999e-01	1.178938e+01	2.353098e+01
1.022323999999999e-01	1.178937e+01	2.352735e+01
1.022423999999999e-01	1.178937e+01	2.352380e+01
1.022523999999999e-01	1.178936e+01	2.352033e+01
1.022623999999999e-01	1.178936e+01	2.351696e+01
1.022723999999999e-01	1.178935e+01	2.351369e+01
1.022923999999999e-01	1.178934e+01	2.350747e+01
1.023223999999999e-01	1.178931e+01	2.349902e+01
1.023523999999999e-01	1.178929e+01	2.349168e+01
1.023823999999999e-01	1.178926e+01	2.348545e+01
1.024123999999999e-01	1.178923e+01	2.348027e+01
1.024323999999999e-01	1.178921e+01	2.347736e+01
1.024523999999998e-01	1.178919e+01	2.347483e+01
1.024723999999998e-01	1.178917e+01	2.347265e+01
1.024823999999998e-01	1.178916e+01	2.347169e+01
1.024923999999998e-01	1.178915e+01	2.347079e+01
1.025023999999998e-01	1.178914e+01	2.346996e+01
1.025123999999998e-01	1.178913e+01	2.346919e+01
1.025223999999998e-01	1.178912e+01	2.346849e+01
1.025323999999998e-01	1.178911e+01	2.346784e+01
1.025423999999998e-01	1.178910e+01	2.346724e+01
1.025523999999998e-01	1.178908e+01	2.346669e+01
1.025623999999998e-01	1.178907e+01	2.346618e+01
1.025723999999998e-01	1.178906e+01	2.346572e+01
1.025823999999998e-01	1.178905e+01	2.346529e+01
1.025923999999998e-01	1.178904e+01	2.346489e+01
1.026023999999998e-01	1.178903e+01	2.346453e+01
1.026123999999998e-01	1.178902e+01	2.346420e+01
1.026223999999998e-01	1.178901e+01	2.346390e+01
1.026323999999998e-01	1.178899e+01	2.346362e+01
1.026423999999998e-01	1.178898e+01	2.346337e+01
1.026523999999998e-01	1.178897e+01	2.346313e+01
1.026623999999998e-01	1.178896e+01	2.346292e+01
1.026723999999998e-01	1.178895e+01	2.346272e+01
1.026823999999998e-01	1.178894e+01	2.346254e+01
1.026923999999998e-01	1.178893e+01	2.346238e+01
1.027023999999997e-01	1.178891e+01	2.346223e+01
1.027123999999997e-01	1.178890e+01	2.346209e+01
1.027223999999997e-01	1.178889e+01	2.346197e+01
1.027323999999997e-01	1.178888e+01	2.346185e+01
1.027423999999997e-01	1.178887e+01	2.346175e+01
1.027523999999997e-01	1.178886e+01	2.346165e+01
1.027623999999997e-01	1.178884e+01	2.346156e+01
1.027723999999997e-01	1.178883e+01	2.346148e+01
1.027823999999997e-01	1.178882e+01	2.346141e+01
1.027923999999997e-01	1.178881e+01	2.346134e+01
1.028023999999997e-01	1.178880e+01	2.346128e+01
1.028123999999997e-01	1.178879e+01	2.346122e+01
1.028223999999997e-01	1.178877e+01	2.346117e+01
1.028323999999997e-01	1.178876e+01	2.346112e+01
1.028423999999997e-01	1.178875e+01	2.346108e+01
1.028523999999997e-01	1.178874e+01	2.346104e+01
1.028623999999997e-01	1.178873e+01	2.346101e+01
1.028723999999997e-01	1.178872e+01	2.346097e+01
1.028823999999997e-01	1.178870e+01	2.346095e+01
1.028923999999997e-01	1.178869e+01	2.346092e+01
1.029023999999997e-01	1.178868e+01	2.346089e+01
1.029123999999997e-01	1.178867e+01	2.346087e+01
1.029223999999997e-01	1.178866e+01	2.346085e+01
1.029323999999997e-01	1.178865e+01	2.346083e+01
1.029423999999997e-01	1.178863e+01	2.346081e+01
1.029523999999997e-01	1.178862e+01	2.346080e+01
1.029623999999996e-01	1.178861e+01	2.346078e+01
1.029723999999996e-01	1.178860e+01	2.346077e+01
1.029823999999996e-01	1.178859e+01	2.346076e+01
1.029923999999996e-01	1.178858e+01	2.346074e+01
1.030023999999996e-01	1.178856e+01	2.346074e+01
1.030123999999996e-01	1.178855e+01	2.346073e+01
1.030223999999996e-01	1.178854e+01	2.346072e+01
1.030323999999996e-01	1.178853e+01	2.346071e+01
1.030423999999996e-01	1.178852e+01	2.346070e+01
1.030523999999996e-01	1.178851e+01	2.346070e+01
1.030623999999996e-01	1.178850e+01	2.346069e+01
1.030723999999996e-01	1.178848e+01	2.346068e+01
1.030823999999996e-01	1.178847e+01	2.346068e+01
1.030923999999996e-01	1.178846e+01	2.346067e+01
1.031023999999996e-01	1.178845e+01	2.346067e+01
1.031123999999996e-01	1.178844e+01	2.346067e+01
1.031223999999996e-01	1.178843e+01	2.346066e+01
1.031323999999996e-01	1.178841e+01	2.346066e+01
1.031423999999996e-01	1.178840e+01	2.346066e+01
1.031523999999996e-01	1.178839e+01	2.346066e+01
1.031623999999996e-01	1.178838e+01	2.346065e+01
1.031723999999996e-01	1.178837e+01	2.346065e+01
1.031823999999996e-01	1.178836e+01	2.346065e+01
