Freq.	V(vout)/V(cart_emf)
6.76082975391976e+03	(2.43197472309544e+01dB,-1.03870201964308e+02°)
6.91830970918931e+03	(2.41384623040104e+01dB,-1.04866576942525e+02°)
7.07945784384132e+03	(2.39562135320328e+01dB,-1.05880307865139e+02°)
7.24435960074984e+03	(2.37729590773144e+01dB,-1.06912270170864e+02°)
7.41310241300911e+03	(2.35886486297357e+01dB,-1.07963370139870e+02°)
7.58577575029177e+03	(2.34032226509041e+01dB,-1.09034543789885e+02°)
7.76247116628685e+03	(2.32166115584243e+01dB,-1.10126755389403e+02°)
7.94328234724275e+03	(2.30287348939967e+01dB,-1.11240995158435e+02°)
8.12830516164092e+03	(2.28395003824263e+01dB,-1.12378276918478e+02°)
8.31763771102664e+03	(2.26488029951605e+01dB,-1.13539634597059e+02°)
8.51138038202369e+03	(2.24565239398865e+01dB,-1.14726118226420e+02°)
8.70963589956073e+03	(2.22625296103119e+01dB,-1.15938789086720e+02°)
8.91250938133738e+03	(2.20666705346423e+01dB,-1.17178713653304e+02°)
9.12010839355902e+03	(2.18687802696096e+01dB,-1.18446956743329e+02°)
9.33254300796983e+03	(2.16686743235007e+01dB,-1.19744573202347e+02°)
9.54992586021428e+03	(2.14661491168432e+01dB,-1.21072598171772e+02°)
9.77237220955802e+03	(2.12609809401075e+01dB,-1.22432036231421e+02°)
9.99999999999991e+03	(2.10529250420200e+01dB,-1.23823848616366e+02°)
1.02329299228075e+04	(2.08417148383760e+01dB,-1.25248938795616e+02°)
1.04712854805089e+04	(2.06270612319657e+01dB,-1.26708136630864e+02°)
1.07151930523760e+04	(2.04086522261015e+01dB,-1.28202180330285e+02°)
1.09647819614318e+04	(2.01861527295826e+01dB,-1.29731697116791e+02°)
1.12201845430195e+04	(1.99592047908623e+01dB,-1.31297181812320e+02°)
1.14815362149687e+04	(1.97274281325301e+01dB,-1.32898974455881e+02°)
1.17489755493952e+04	(1.94904212293530e+01dB,-1.34537236398556e+02°)
1.20226443461740e+04	(1.92477628987717e+01dB,-1.36211925727236e+02°)
1.23026877081237e+04	(1.89990145084261e+01dB,-1.37922772345750e+02°)
1.25892541179416e+04	(1.87437227851629e+01dB,-1.39669253577765e+02°)
1.28824955169312e+04	(1.84814234242920e+01dB,-1.41450570510167e+02°)
1.31825673855640e+04	(1.82116452921901e+01dB,-1.43265626711245e+02°)
1.34896288259164e+04	(1.79339154798519e+01dB,-1.45113009445626e+02°)
1.38038426460287e+04	(1.76477648809870e+01dB,-1.46990975313984e+02°)
1.41253754462274e+04	(1.73527345433237e+01dB,-1.48897440424997e+02°)
1.44543977074591e+04	(1.70483823474221e+01dB,-1.50829977029962e+02°)
1.47910838816819e+04	(1.67342902189579e+01dB,-1.52785816651630e+02°)
1.51356124843619e+04	(1.64100712573129e+01dB,-1.54761861324416e+02°)
1.54881661891247e+04	(1.60753770962134e+01dB,-1.56754702424413e+02°)
1.58489319246110e+04	(1.57299046631228e+01dB,-1.58760648220601e+02°)
1.62181009735891e+04	(1.53734025888660e+01dB,-1.60775759129780e+02°)
1.65958690743755e+04	(1.50056766794089e+01dB,-1.62795890525951e+02°)
1.69824365246173e+04	(1.46265944011327e+01dB,-1.64816741857602e+02°)
1.73780082874936e+04	(1.42360881109197e+01dB,-1.66833910783391e+02°)
1.77827941003891e+04	(1.38341568559475e+01dB,-1.68842950617799e+02°)
1.81970085860997e+04	(1.34208667386313e+01dB,-1.70839429184000e+02°)
1.86208713666285e+04	(1.29963497989138e+01dB,-1.72818987144975e+02°)
1.90546071796323e+04	(1.25608014132888e+01dB,-1.74777393827951e+02°)
1.94984459975803e+04	(1.21144764151939e+01dB,-1.76710598793863e+02°)
1.99526231496886e+04	(1.16576840769574e+01dB,-1.78614777632674e+02°)
2.04173794466951e+04	(1.11907821749522e+01dB,1.79513629192168e+02°)
2.08929613085402e+04	(1.07141702819388e+01dB,1.77677885453448e+02°)
2.13796208950221e+04	(1.02282827894257e+01dB,1.75880936221001e+02°)
2.18776162394953e+04	(9.73358170781473e+00dB,1.74125393147891e+02°)
2.23872113856832e+04	(9.23054937934025e+00dB,1.72413528013754e+02°)
2.29086765276775e+04	(8.71968177076485e+00dB,1.70747272758114e+02°)
2.34422881531990e+04	(8.20148182661893e+00dB,1.69128226892274e+02°)
2.39883291901947e+04	(7.67645372974981e+00dB,1.67557669424691e+02°)
2.45470891568501e+04	(7.14509754756377e+00dB,1.66036575970104e+02°)
2.51188643150956e+04	(6.60790477782610e+00dB,1.64565638593619e+02°)
2.57039578276884e+04	(6.06535444405302e+00dB,1.63145288619878e+02°)
2.63026799189536e+04	(5.51791004779839e+00dB,1.61775720337275e+02°)
2.69153480392689e+04	(4.96601711627762e+00dB,1.60456915641362e+02°)
2.75422870333814e+04	(4.41010137703862e+00dB,1.59188668647446e+02°)
2.81838293126443e+04	(3.85056751913131e+00dB,1.57970609625466e+02°)
2.88403150312658e+04	(3.28779847719242e+00dB,1.56802227761342e+02°)
2.95120922666636e+04	(2.72215508871795e+00dB,1.55682892857030e+02°)
3.01995172040199e+04	(2.15397617002505e+00dB,1.54611875170766e+02°)
3.09029543251356e+04	(1.58357885310167e+00dB,1.53588363755363e+02°)
3.16227766016835e+04	(1.01125919005662e+00dB,1.52611482859579e+02°)
3.23593656929625e+04	(4.37292919908304e-01dB,1.51680306710111e+02°)
3.31131121482588e+04	(-1.38063609907153e-01dB,1.50793872457284e+02°)
3.38844156139199e+04	(-7.14572435363820e-01dB,1.49951191532774e+02°)
3.46736850452528e+04	(-1.29201290990883e+00dB,1.49151259511225e+02°)
3.54813389233572e+04	(-1.87018057855783e+00dB,1.48393064301961e+02°)
3.63078054770098e+04	(-2.44888609090665e+00dB,1.47675593419166e+02°)
